classification_id,user_id,subject_id,subject_data,annotations
10,197,171,"{""171"": {""num_classifications"": 1, ""sdss_specobjid"": 2015519227951212544}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
11,173,115,"{""115"": {""num_classifications"": 1, ""sdss_specobjid"": 2844198888540235776}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
12,89,12,"{""12"": {""num_classifications"": 1, ""sdss_specobjid"": 2168562990821959680}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
13,27,84,"{""84"": {""num_classifications"": 1, ""sdss_specobjid"": 2066133882872293376}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
14,157,121,"{""121"": {""num_classifications"": 1, ""sdss_specobjid"": 2285670877838206976}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
15,75,185,"{""185"": {""num_classifications"": 1, ""sdss_specobjid"": 1948992727291029504}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
16,145,127,"{""127"": {""num_classifications"": 1, ""sdss_specobjid"": 1991832992435169280}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
17,106,47,"{""47"": {""num_classifications"": 1, ""sdss_specobjid"": 3319224470014552064}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
18,0,146,"{""146"": {""num_classifications"": 1, ""sdss_specobjid"": 1178838139037313024}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
19,31,81,"{""81"": {""num_classifications"": 1, ""sdss_specobjid"": 1173226506432833536}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
20,68,122,"{""122"": {""num_classifications"": 1, ""sdss_specobjid"": 671064971542554624}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
21,47,106,"{""106"": {""num_classifications"": 1, ""sdss_specobjid"": 1535775902800046080}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
22,182,190,"{""190"": {""num_classifications"": 1, ""sdss_specobjid"": 711578396596922368}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
23,49,97,"{""97"": {""num_classifications"": 1, ""sdss_specobjid"": 2072838137037481984}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
24,55,95,"{""95"": {""num_classifications"": 1, ""sdss_specobjid"": 2382463366288402432}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
25,196,93,"{""93"": {""num_classifications"": 1, ""sdss_specobjid"": 1388254971971004416}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
26,115,104,"{""104"": {""num_classifications"": 1, ""sdss_specobjid"": 1038226264734853120}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
27,15,135,"{""135"": {""num_classifications"": 1, ""sdss_specobjid"": 1789071494509258752}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
28,85,71,"{""71"": {""num_classifications"": 1, ""sdss_specobjid"": 957152948750673920}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
29,164,54,"{""54"": {""num_classifications"": 1, ""sdss_specobjid"": 2269901961983715328}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
30,99,34,"{""34"": {""num_classifications"": 1, ""sdss_specobjid"": 1184570438429206528}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
31,125,187,"{""187"": {""num_classifications"": 1, ""sdss_specobjid"": 958141410341578752}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
32,142,181,"{""181"": {""num_classifications"": 1, ""sdss_specobjid"": 2262052000478816256}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
33,115,39,"{""39"": {""num_classifications"": 1, ""sdss_specobjid"": 2398288087844153344}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
34,39,56,"{""56"": {""num_classifications"": 1, ""sdss_specobjid"": 1020227258415081472}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
35,117,166,"{""166"": {""num_classifications"": 1, ""sdss_specobjid"": 1390611500267235328}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
36,157,46,"{""46"": {""num_classifications"": 1, ""sdss_specobjid"": 2030141087963703296}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
37,186,60,"{""60"": {""num_classifications"": 1, ""sdss_specobjid"": 1933171029828462592}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
38,92,138,"{""138"": {""num_classifications"": 1, ""sdss_specobjid"": 2393696525826942976}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
39,196,163,"{""163"": {""num_classifications"": 1, ""sdss_specobjid"": 2737228763845650432}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
40,69,10,"{""10"": {""num_classifications"": 1, ""sdss_specobjid"": 985184173335537664}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
41,44,38,"{""38"": {""num_classifications"": 1, ""sdss_specobjid"": 2186536434167474176}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
42,171,145,"{""145"": {""num_classifications"": 1, ""sdss_specobjid"": 2374685139679602688}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
43,92,150,"{""150"": {""num_classifications"": 1, ""sdss_specobjid"": 1496324046273406976}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
44,60,156,"{""156"": {""num_classifications"": 1, ""sdss_specobjid"": 1537008730229467136}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
45,0,142,"{""142"": {""num_classifications"": 1, ""sdss_specobjid"": 407642870024005632}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
46,99,68,"{""68"": {""num_classifications"": 1, ""sdss_specobjid"": 572017115754686464}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
47,47,107,"{""107"": {""num_classifications"": 1, ""sdss_specobjid"": 2985895424671377408}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
48,5,168,"{""168"": {""num_classifications"": 1, ""sdss_specobjid"": 2660554869315758080}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
49,183,22,"{""22"": {""num_classifications"": 1, ""sdss_specobjid"": 2043538632651859968}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
50,199,2,"{""2"": {""num_classifications"": 1, ""sdss_specobjid"": 2406155648749299712}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
51,20,151,"{""151"": {""num_classifications"": 1, ""sdss_specobjid"": 2221511624454334464}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
52,143,140,"{""140"": {""num_classifications"": 1, ""sdss_specobjid"": 1334309356556019712}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
53,195,118,"{""118"": {""num_classifications"": 1, ""sdss_specobjid"": 1366942038527862784}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
54,66,148,"{""148"": {""num_classifications"": 1, ""sdss_specobjid"": 1306180276241590272}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
55,171,165,"{""165"": {""num_classifications"": 1, ""sdss_specobjid"": 1983875825325336576}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
56,116,29,"{""29"": {""num_classifications"": 1, ""sdss_specobjid"": 1380401710169614336}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
57,99,52,"{""52"": {""num_classifications"": 1, ""sdss_specobjid"": 2106621179761551360}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
58,50,123,"{""123"": {""num_classifications"": 1, ""sdss_specobjid"": 2366661739308673024}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
59,60,87,"{""87"": {""num_classifications"": 1, ""sdss_specobjid"": 575467937528309760}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
60,143,116,"{""116"": {""num_classifications"": 1, ""sdss_specobjid"": 1071917774625859584}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
61,115,186,"{""186"": {""num_classifications"": 1, ""sdss_specobjid"": 374938451679668224}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
62,129,110,"{""110"": {""num_classifications"": 1, ""sdss_specobjid"": 1320702902645319680}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
63,95,139,"{""139"": {""num_classifications"": 1, ""sdss_specobjid"": 1382751366417508352}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
64,123,14,"{""14"": {""num_classifications"": 1, ""sdss_specobjid"": 1032542613816764416}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
65,10,161,"{""161"": {""num_classifications"": 1, ""sdss_specobjid"": 602448018041497600}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
66,95,59,"{""59"": {""num_classifications"": 1, ""sdss_specobjid"": 694824313307555840}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
67,121,94,"{""94"": {""num_classifications"": 1, ""sdss_specobjid"": 1990718361515878400}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
68,183,100,"{""100"": {""num_classifications"": 1, ""sdss_specobjid"": 2410607563914635264}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
69,89,90,"{""90"": {""num_classifications"": 1, ""sdss_specobjid"": 1378153209410906112}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
70,71,101,"{""101"": {""num_classifications"": 1, ""sdss_specobjid"": 1490706371874678784}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
71,69,102,"{""102"": {""num_classifications"": 1, ""sdss_specobjid"": 2381288532762191872}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
72,138,55,"{""55"": {""num_classifications"": 1, ""sdss_specobjid"": 1169837811294038016}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
73,0,85,"{""85"": {""num_classifications"": 1, ""sdss_specobjid"": 384085003581024256}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
74,93,63,"{""63"": {""num_classifications"": 1, ""sdss_specobjid"": 2837422873289713664}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
75,148,174,"{""174"": {""num_classifications"": 1, ""sdss_specobjid"": 2489471135297595392}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
76,195,119,"{""119"": {""num_classifications"": 1, ""sdss_specobjid"": 683488353391241216}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
77,196,53,"{""53"": {""num_classifications"": 1, ""sdss_specobjid"": 961587554610604032}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
78,195,11,"{""11"": {""num_classifications"": 1, ""sdss_specobjid"": 1382626022091941888}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
79,186,188,"{""188"": {""num_classifications"": 1, ""sdss_specobjid"": 1981690815323334656}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
80,144,33,"{""33"": {""num_classifications"": 1, ""sdss_specobjid"": 1613442105215051776}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
81,144,129,"{""129"": {""num_classifications"": 1, ""sdss_specobjid"": 1089972855115900928}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
82,95,124,"{""124"": {""num_classifications"": 1, ""sdss_specobjid"": 2998341067067123712}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
83,0,189,"{""189"": {""num_classifications"": 1, ""sdss_specobjid"": 2001942458488875008}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
84,41,66,"{""66"": {""num_classifications"": 1, ""sdss_specobjid"": 2925149601629497344}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
85,51,114,"{""114"": {""num_classifications"": 1, ""sdss_specobjid"": 587828362102204416}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
86,141,51,"{""51"": {""num_classifications"": 1, ""sdss_specobjid"": 1830843873782425600}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
87,79,117,"{""117"": {""num_classifications"": 1, ""sdss_specobjid"": 2821531075182880768}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
88,68,82,"{""82"": {""num_classifications"": 1, ""sdss_specobjid"": 914298108903450624}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
89,97,43,"{""43"": {""num_classifications"": 1, ""sdss_specobjid"": 689156056105904128}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
90,183,134,"{""134"": {""num_classifications"": 1, ""sdss_specobjid"": 1968202007109986304}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
91,11,13,"{""13"": {""num_classifications"": 1, ""sdss_specobjid"": 1912947150371710976}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
92,186,158,"{""158"": {""num_classifications"": 1, ""sdss_specobjid"": 1477284353405904896}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
93,131,120,"{""120"": {""num_classifications"": 1, ""sdss_specobjid"": 664433261908355072}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
94,146,112,"{""112"": {""num_classifications"": 1, ""sdss_specobjid"": 1954577957523580928}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
95,186,103,"{""103"": {""num_classifications"": 1, ""sdss_specobjid"": 1781253691404216320}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
96,59,25,"{""25"": {""num_classifications"": 1, ""sdss_specobjid"": 485291203764447232}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
97,49,128,"{""128"": {""num_classifications"": 1, ""sdss_specobjid"": 2910554132261660672}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
98,145,172,"{""172"": {""num_classifications"": 1, ""sdss_specobjid"": 2569370719414675456}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
99,169,16,"{""16"": {""num_classifications"": 1, ""sdss_specobjid"": 1859034251903657984}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
100,21,99,"{""99"": {""num_classifications"": 1, ""sdss_specobjid"": 2401694375470983168}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
101,11,130,"{""130"": {""num_classifications"": 1, ""sdss_specobjid"": 2098837186001528832}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
102,114,141,"{""141"": {""num_classifications"": 1, ""sdss_specobjid"": 424608886645876736}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
103,68,73,"{""73"": {""num_classifications"": 1, ""sdss_specobjid"": 2428651382379669504}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
104,22,30,"{""30"": {""num_classifications"": 1, ""sdss_specobjid"": 1486193146000861184}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
105,49,83,"{""83"": {""num_classifications"": 1, ""sdss_specobjid"": 2559253838485809152}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
106,23,23,"{""23"": {""num_classifications"": 1, ""sdss_specobjid"": 1337632630585190400}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
107,82,72,"{""72"": {""num_classifications"": 1, ""sdss_specobjid"": 3127903948988508160}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
108,122,5,"{""5"": {""num_classifications"": 1, ""sdss_specobjid"": 1797108375188695040}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
109,31,21,"{""21"": {""num_classifications"": 1, ""sdss_specobjid"": 493295923410003968}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
110,163,4,"{""4"": {""num_classifications"": 1, ""sdss_specobjid"": 1371485495082641408}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
111,145,154,"{""154"": {""num_classifications"": 1, ""sdss_specobjid"": 2271021809124009984}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
112,163,31,"{""31"": {""num_classifications"": 1, ""sdss_specobjid"": 2981511396547651584}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
113,187,155,"{""155"": {""num_classifications"": 1, ""sdss_specobjid"": 506689899584317440}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
114,95,50,"{""50"": {""num_classifications"": 1, ""sdss_specobjid"": 858077053705021440}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
115,23,19,"{""19"": {""num_classifications"": 1, ""sdss_specobjid"": 2240580180408035328}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
116,93,105,"{""105"": {""num_classifications"": 1, ""sdss_specobjid"": 555119264441329664}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
117,82,42,"{""42"": {""num_classifications"": 1, ""sdss_specobjid"": 2924009408054716416}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
118,8,40,"{""40"": {""num_classifications"": 1, ""sdss_specobjid"": 1390524363970734080}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
119,163,64,"{""64"": {""num_classifications"": 1, ""sdss_specobjid"": 1906262124674443264}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
120,134,126,"{""126"": {""num_classifications"": 1, ""sdss_specobjid"": 1852224422107179008}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
121,34,61,"{""61"": {""num_classifications"": 1, ""sdss_specobjid"": 1628085401828747264}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
122,187,183,"{""183"": {""num_classifications"": 1, ""sdss_specobjid"": 665489617117538304}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
123,42,35,"{""35"": {""num_classifications"": 1, ""sdss_specobjid"": 1048284325465843712}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
